Name,Playing years,Matches played,Runs scored,Highest score,Batting average,Wickets,Bowling average,Catches
AN Cook,2006-2018,161,12472,294,45.35,1,7,175
JM Anderson,2003-2021,158,1222,81,9.54,611,26.49,97
SCJ Broad,2007-2021,145,3351,169,19.03,517,27.68,47
IR Bell,2004-2015,118,7727,235,42.69,1,76,100
GA Gooch,1975-1995,118,8900,333,42.58,23,46.47,103
DI Gower,1978-1992,117,8231,215,44.25,1,20,74
MA Atherton,1989-2001,115,7728,185,37.69,2,151,83
G Boycott,1964-1982,108,8114,246,47.72,7,54.57,33
KP Pietersen,2005-2014,104,8181,227,47.28,10,88.6,62
IT Botham,1977-1992,102,5200,208,33.54,383,28.4,120
JE Root,2012-2021,101,8546,254,49.97,32,47.34,133
RGD Willis,1971-1984,90,840,28,11.5,325,25.2,39
DL Underwood,1966-1982,86,937,45,11.56,297,25.83,44
WR Hammond,1927-1947,85,7249,336,58.45,83,37.8,110
KF Barrington,1955-1968,82,6806,256,58.67,29,44.82,58
MP Vaughan,1999-2008,82,5719,197,41.44,6,93.5,44
MW Gatting,1978-1995,79,4409,207,35.55,4,79.25,59
TW Graveney,1951-1969,79,4882,258,44.38,1,167,80
L Hutton,1937-1955,79,6971,364,56.67,3,77.33,57
AJ Lamb,1982-1992,79,4656,142,36.09,1,23,75
DCS Compton,1937-1957,78,5807,278,50.06,25,56.4,49
A Flintoff,1998-2009,78,3795,167,31.89,219,33.34,52
ME Trescothick,2000-2006,76,5825,219,43.79,1,155,95
MA Butcher,1997-2004,71,4288,173,34.58,15,36.06,61
JB Statham,1951-1965,70,675,38,11.44,252,24.84,28
BA Stokes,2013-2021,69,4543,258,37.54,159,31.49,80
PD Collingwood,2003-2011,68,4259,206,40.56,17,59.88,96
MJ Hoggard,2000-2008,67,473,38,7.27,248,30.5,24
FS Trueman,1952-1965,67,981,39,13.81,307,21.57,64
GA Hick,1991-2001,65,3383,178,31.32,23,56.78,90
JE Emburey,1978-1995,64,1713,75,22.53,147,38.4,34
FE Woolley,1909-1934,64,3283,154,36.07,83,33.91,64
AR Caddick,1993-2003,62,861,49,10.37,234,29.91,21
ER Dexter,1958-1968,62,4502,205,47.89,66,34.93,29
SJ Harmison,2002-2009,62,742,49,12.16,222,31.94,7
MM Ali,2014-2021,61,2831,155,28.88,189,36.24,33
TE Bailey,1949-1959,61,2290,134,29.74,132,29.21,32
JB Hobbs,1908-1930,61,5410,211,56.94,1,165,17
R Illingworth,1958-1973,61,1836,113,23.24,122,31.2,45
GP Swann,2008-2013,60,1370,85,22.09,255,29.96,54
KWR Fletcher,1968-1982,59,3272,216,39.9,2,96.5,54
D Gough,1994-2003,58,855,65,12.57,229,28.39,13
AW Greig,1972-1977,58,3599,148,40.43,141,32.2,87
W Rhodes,1899-1930,58,2325,179,30.19,127,26.96,60
AF Giles,1998-2006,54,1421,59,20.89,143,40.6,33
FJ Titmus,1955-1975,53,1449,84,22.29,153,32.22,35
MR Ramprakash,1991-2002,52,2350,154,27.32,4,119.25,39
IJL Trott,2009-2015,52,3835,226,44.08,5,80,29
AV Bedser,1946-1955,51,714,79,12.75,236,24.89,26
PH Edmonds,1975-1987,51,875,64,17.5,125,34.18,42
EH Hendren,1920-1935,51,3525,205,47.63,1,31,33
MS Panesar,2006-2013,50,220,26,4.88,167,34.71,10
